"Date","Time","Open","High","Low","Close","Up","Down","xHigh","xLow","xOpen","xClose"
01/03/2014,13:55,1825.00,1825.50,1824.75,1825.50,2134,1146,1825.50,1824.75,1824.81,1825.21
01/03/2014,14:00,1825.50,1825.50,1825.00,1825.00,1302,1425,1825.50,1825.00,1825.01,1825.10
01/03/2014,14:05,1825.00,1826.50,1825.00,1826.25,4968,2263,1826.50,1825.00,1825.06,1825.81
01/03/2014,14:10,1826.25,1826.25,1825.00,1825.25,575,2848,1826.25,1825.00,1825.43,1825.44
01/03/2014,14:15,1825.00,1826.00,1824.75,1826.00,3157,1000,1826.00,1824.75,1825.43,1825.64
01/03/2014,14:20,1826.00,1826.25,1825.50,1825.75,1203,2113,1826.25,1825.50,1825.54,1825.76
01/03/2014,14:25,1825.75,1826.00,1825.50,1826.00,1394,1188,1826.00,1825.50,1825.65,1825.83
01/03/2014,14:30,1826.00,1826.00,1825.50,1825.75,1414,1231,1826.00,1825.50,1825.74,1825.75
01/03/2014,14:35,1826.00,1826.75,1825.25,1825.50,4323,4164,1826.75,1825.25,1825.74,1825.75
01/03/2014,14:40,1825.50,1826.50,1825.50,1826.50,3231,1046,1826.50,1825.50,1825.75,1826.15
01/03/2014,14:45,1826.50,1827.50,1826.25,1827.25,5335,5079,1827.50,1825.95,1825.95,1826.84
01/03/2014,14:50,1827.50,1829.25,1827.25,1829.25,11769,3067,1829.25,1826.39,1826.39,1828.28
01/03/2014,14:55,1829.25,1830.00,1829.00,1830.00,7618,5304,1830.00,1827.34,1827.34,1829.27
01/03/2014,15:00,1830.00,1830.00,1828.50,1829.00,2818,7456,1830.00,1828.30,1828.30,1828.96
01/03/2014,15:05,1829.00,1829.25,1828.50,1828.75,1016,2472,1829.25,1828.50,1828.63,1828.78
01/03/2014,15:10,1828.75,1829.25,1828.25,1829.00,2861,2086,1829.25,1828.25,1828.70,1828.84
01/03/2014,15:15,1828.75,1832.00,1828.75,1831.00,16572,7996,1832.00,1828.75,1828.77,1830.30
01/03/2014,15:20,1831.25,1831.25,1830.50,1831.00,1330,3289,1831.25,1829.54,1829.54,1830.66
01/03/2014,15:25,1831.00,1831.25,1830.50,1830.75,1267,2616,1831.25,1830.10,1830.10,1830.67
01/03/2014,15:30,1830.75,1831.00,1829.75,1830.50,1935,4294,1831.00,1829.75,1830.38,1830.43
01/03/2014,15:35,1830.50,1831.25,1830.00,1830.50,3585,3655,1831.25,1830.00,1830.41,1830.53
01/03/2014,15:40,1830.50,1831.25,1830.25,1830.25,1360,2750,1831.25,1830.25,1830.47,1830.49
01/03/2014,15:45,1830.25,1830.25,1828.00,1829.00,8198,11312,1830.48,1828.00,1830.48,1829.35
01/03/2014,15:50,1829.00,1829.00,1828.00,1828.25,6315,4542,1829.91,1828.00,1829.91,1828.68
01/03/2014,15:55,1828.25,1828.50,1826.25,1826.75,8399,14465,1829.30,1826.25,1829.30,1827.51
01/03/2014,16:00,1826.50,1826.75,1824.50,1824.75,12286,30165,1828.40,1824.50,1828.40,1825.83
01/03/2014,16:05,1824.50,1826.25,1824.50,1825.50,22156,14930,1827.12,1824.50,1827.12,1825.77
01/03/2014,16:10,1825.25,1825.75,1824.75,1825.50,4984,4448,1826.45,1824.75,1826.45,1825.59
01/03/2014,16:15,1825.50,1825.75,1825.00,1825.25,6475,4284,1826.02,1825.00,1826.02,1825.45
01/03/2014,16:35,1825.25,1825.25,1824.00,1824.25,284,2464,1825.74,1824.00,1825.74,1824.70
01/03/2014,16:40,1824.50,1824.50,1824.25,1824.50,404,208,1825.22,1824.25,1825.22,1824.59
01/03/2014,16:45,1824.25,1824.50,1824.25,1824.50,600,27,1824.90,1824.25,1824.90,1824.53
01/03/2014,16:50,1824.25,1824.50,1824.00,1824.00,106,156,1824.72,1824.00,1824.72,1824.24
01/03/2014,16:55,1824.25,1824.25,1823.50,1824.00,313,441,1824.48,1823.50,1824.48,1824.05
01/03/2014,17:00,1824.00,1824.00,1823.50,1823.50,159,245,1824.26,1823.50,1824.26,1823.75
01/03/2014,17:05,1823.50,1824.00,1823.00,1823.50,619,822,1824.01,1823.00,1824.01,1823.60
01/03/2014,17:10,1823.75,1824.25,1823.75,1824.00,400,7,1824.25,1823.75,1823.80,1823.96
01/03/2014,17:15,1824.00,1824.25,1823.25,1823.25,289,996,1824.25,1823.25,1823.88,1823.58
01/04/2014,09:05,1829.50,1830.50,1829.50,1830.00,2696,951,1830.50,1823.73,1823.73,1828.75
01/04/2014,09:10,1830.25,1830.75,1830.00,1830.75,2278,1219,1830.75,1826.24,1826.24,1829.70
01/04/2014,09:15,1830.75,1831.75,1830.50,1831.00,4408,2861,1831.75,1827.97,1827.97,1830.44
01/04/2014,09:20,1831.25,1831.50,1830.75,1831.25,1527,1858,1831.50,1829.21,1829.21,1830.79
01/04/2014,09:25,1831.25,1831.75,1831.00,1831.00,3563,1680,1831.75,1830.00,1830.00,1830.95
01/04/2014,09:30,1831.00,1831.75,1831.00,1831.50,2655,1502,1831.75,1830.47,1830.47,1831.24
